alpha,beta,b4_loglik,b4_BIC,b5_loglik,b5_BIC,b6_loglik,b6_BIC,b7_loglik,b7_BIC,b8_loglik,b8_BIC,b9_loglik,b9_BIC
0.9,0.9,559.7646,-1090.8142,559.7646,-1085.0712,559.7647,-1079.3283,559.7654,-1073.5867,559.7647,-1067.8424,559.7686,-1062.1071
0.9,0.95,559.9378,-1091.1606,559.9378,-1085.4176,559.9385,-1079.676,559.9517,-1073.9594,559.9585,-1068.2301,559.9579,-1062.4857
0.9,1,559.9104,-1091.1058,559.915,-1085.372,559.9223,-1079.6435,559.9172,-1073.8904,559.9478,-1068.2086,559.9747,-1062.5193
0.9,1.05,559.7245,-1090.7339,559.7337,-1085.0094,559.7654,-1079.3298,559.7607,-1073.5774,559.7675,-1067.848,559.8416,-1062.2531
0.9,1.1,559.4431,-1090.1712,559.4431,-1084.4282,559.4829,-1078.7648,559.516,-1073.088,559.4875,-1067.288,559.5824,-1061.7348
0.95,0.9,561.3602,-1094.0054,561.3673,-1088.2767,561.3639,-1082.5268,561.3844,-1076.8247,561.6604,-1071.6337,561.368,-1065.306
0.95,0.95,561.2711,-1093.8271,561.2779,-1088.0978,561.2915,-1082.3819,561.2838,-1076.6236,561.809,-1071.931,561.3098,-1065.1896
0.95,1,561.028,-1093.341,561.0335,-1087.6091,561.07,-1081.9389,561.0444,-1076.1447,562.4014,-1073.1157,561.1001,-1064.7702
0.95,1.05,560.6662,-1092.6174,560.6748,-1086.8917,560.7369,-1081.2727,560.6939,-1075.4437,562.583,-1073.479,560.7832,-1064.1364
0.95,1.1,560.2119,-1091.7087,560.2298,-1086.0015,560.32,-1080.4389,560.2566,-1074.5691,562.6436,-1073.6001,560.7432,-1064.0563
1,0.9,561.319,-1093.923,561.4078,-1088.3577,561.4744,-1082.7478,561.4873,-1077.0307,561.6453,-1071.6035,561.4745,-1065.5189
1,0.95,561.0638,-1093.4127,561.2781,-1088.0982,561.2066,-1082.2123,561.2948,-1076.6456,561.859,-1072.031,561.8016,-1066.1732
1,1,560.6513,-1092.5876,560.9637,-1087.4694,560.8171,-1081.4333,560.9646,-1075.9852,561.9838,-1072.2806,561.933,-1066.4359
1,1.05,560.1189,-1091.5228,560.5295,-1086.601,560.333,-1080.4649,560.5304,-1075.1168,560.4708,-1069.2546,561.9781,-1066.5262
1,1.1,559.4944,-1090.2739,560.0161,-1085.5742,559.7739,-1079.3469,560.0191,-1074.0941,562.3121,-1072.9371,562.0436,-1066.6572
1.05,0.9,559.9914,-1091.2677,560.2065,-1085.9551,560.5038,-1080.8066,560.3654,-1074.7868,561.0945,-1070.502,560.5038,-1063.5775
1.05,0.95,559.5779,-1090.4408,560.0356,-1085.6132,560.1077,-1080.0144,560.0969,-1074.2497,560.988,-1070.289,560.1744,-1062.9187
1.05,1,559.0032,-1089.2913,559.6749,-1084.8918,559.5365,-1078.872,559.6959,-1073.4478,561.1545,-1070.6219,559.7255,-1062.0209
1.05,1.05,558.3072,-1087.8993,559.19,-1083.9219,558.883,-1077.5649,559.1956,-1072.4472,561.2463,-1070.8057,559.2023,-1060.9745
1.05,1.1,557.519,-1086.323,558.6217,-1082.7854,558.1654,-1076.1299,558.6224,-1071.3008,558.9331,-1066.1792,561.2646,-1065.0992
1.1,0.9,557.6548,-1086.5947,558.0134,-1081.5688,558.6986,-1077.1962,558.2674,-1070.5908,559.3464,-1067.0057,558.6986,-1059.9671
1.1,0.95,557.0915,-1085.468,557.798,-1081.1381,558.3419,-1076.4827,557.9237,-1069.9033,559.9204,-1068.1537,558.3467,-1059.2633
1.1,1,556.3624,-1084.0098,557.3872,-1080.3164,557.6205,-1075.04,557.45,-1068.956,559.7207,-1067.7544,557.759,-1058.0879
1.1,1.05,555.51,-1082.305,556.8468,-1079.2356,556.82,-1073.439,556.8784,-1067.8128,557.725,-1063.7631,557.1071,-1056.7842
1.1,1.1,554.5648,-1080.4147,556.2186,-1077.9792,555.9658,-1071.7307,556.2342,-1066.5244,557.2015,-1062.7159,556.407,-1055.3841
