alpha,beta,b6_loglik,b6_BIC,b7_loglik,b7_BIC,b8_loglik,b8_BIC
0.8,0.8,544.3656,-1048.5301,NaN,NaN,NaN,NaN
0.8,0.85,547.5358,-1054.8707,NaN,NaN,NaN,NaN
0.8,0.9,549.358,-1058.5149,NaN,NaN,NaN,NaN
0.8,0.95,550.5752,-1060.9494,NaN,NaN,NaN,NaN
0.8,1,551.4575,-1062.714,NaN,NaN,NaN,NaN
0.8,1.05,552.0338,-1063.8666,NaN,NaN,NaN,NaN
0.8,1.1,552.3238,-1064.4465,NaN,NaN,NaN,NaN
0.8,1.15,552.4191,-1064.6371,NaN,NaN,NaN,NaN
0.8,1.2,552.4341,-1064.6672,NaN,NaN,NaN,NaN
0.85,0.8,552.2994,-1064.3977,NaN,NaN,NaN,NaN
0.85,0.85,554.7935,-1069.3859,NaN,NaN,NaN,NaN
0.85,0.9,556.014,-1071.827,NaN,NaN,NaN,NaN
0.85,0.95,556.6705,-1073.1401,NaN,NaN,NaN,NaN
0.85,1,557.0177,-1073.8343,NaN,NaN,NaN,NaN
0.85,1.05,557.1155,-1074.0299,NaN,NaN,NaN,NaN
0.85,1.1,557.0837,-1073.9663,NaN,NaN,NaN,NaN
0.85,1.15,556.8957,-1073.5903,NaN,NaN,NaN,NaN
0.85,1.2,556.6258,-1073.0507,NaN,NaN,NaN,NaN
0.9,0.8,557.0594,-1073.9178,NaN,NaN,NaN,NaN
0.9,0.85,559.0273,-1077.8536,NaN,NaN,NaN,NaN
0.9,0.9,559.7659,-1079.3309,559.766,-1073.5879,559.7666,-1067.8463
0.9,0.95,559.944,-1079.6871,559.947,-1073.95,559.9471,-1068.2071
0.9,1,559.9141,-1079.6271,559.921,-1073.898,559.9407,-1068.1945
0.9,1.05,559.7533,-1079.3055,559.7524,-1073.5607,559.7721,-1067.8572
0.9,1.1,559.468,-1078.7349,559.4952,-1073.0463,559.4825,-1067.278
0.9,1.15,559.0868,-1077.9725,NaN,NaN,NaN,NaN
0.9,1.2,558.6532,-1077.1053,NaN,NaN,NaN,NaN
0.95,0.8,559.4289,-1078.6567,NaN,NaN,NaN,NaN
0.95,0.85,560.9834,-1081.7658,NaN,NaN,NaN,NaN
0.95,0.9,561.3671,-1082.5332,561.3661,-1076.7881,561.3995,-1071.1119
0.95,0.95,561.2766,-1082.3523,561.2859,-1076.6279,561.3066,-1070.9261
0.95,1,561.0392,-1081.8774,561.0485,-1076.1529,561.0776,-1070.4681
0.95,1.05,560.6855,-1081.1701,560.6998,-1075.4555,560.7395,-1069.7919
0.95,1.1,560.2406,-1080.2802,560.2686,-1074.5931,560.3145,-1068.9419
0.95,1.15,559.7255,-1079.25,NaN,NaN,NaN,NaN
0.95,1.2,559.158,-1078.1151,NaN,NaN,NaN,NaN
1,0.8,559.9726,-1079.7443,NaN,NaN,NaN,NaN
1,0.85,561.2003,-1082.1996,NaN,NaN,NaN,NaN
1,0.9,561.4441,-1082.6872,561.4575,-1076.971,561.52,-1071.3529
1,0.95,561.3141,-1082.4271,561.2279,-1076.5117,561.326,-1070.9649
1,1,560.9712,-1081.7414,560.8788,-1075.8135,560.9713,-1070.2556
1,1.05,560.4981,-1080.7953,560.4324,-1074.9207,560.4989,-1069.3107
1,1.1,559.9443,-1079.6876,559.9052,-1073.8664,559.9496,-1068.2121
1,1.15,559.3416,-1078.4821,NaN,NaN,NaN,NaN
1,1.2,558.7093,-1077.2176,NaN,NaN,NaN,NaN
1.05,0.8,559.107,-1078.013,NaN,NaN,NaN,NaN
1.05,0.85,560.0875,-1079.9739,NaN,NaN,NaN,NaN
1.05,0.9,560.3094,-1080.4177,560.4153,-1074.8865,560.9612,-1070.2353
1.05,0.95,560.18,-1080.159,560.0225,-1074.1009,560.2199,-1068.7527
1.05,1,559.8387,-1079.4763,559.5223,-1073.1007,559.8489,-1068.0108
1.05,1.05,559.3645,-1078.528,558.9391,-1071.9341,559.366,-1067.045
1.05,1.1,558.8055,-1077.41,558.2912,-1070.6384,558.8055,-1065.924
1.05,1.15,558.1921,-1076.1831,NaN,NaN,NaN,NaN
1.05,1.2,557.5442,-1074.8874,NaN,NaN,NaN,NaN
1.1,0.8,557.1442,-1074.0874,NaN,NaN,NaN,NaN
1.1,0.85,557.9879,-1075.7748,NaN,NaN,NaN,NaN
1.1,0.9,558.2004,-1076.1998,558.508,-1071.0721,559.4239,-1067.1608
1.1,0.95,558.0674,-1075.9338,557.9822,-1070.0203,559.9195,-1068.152
1.1,1,557.7207,-1075.2403,557.3289,-1068.7138,559.7767,-1067.8664
1.1,1.05,557.2368,-1074.2725,556.6011,-1067.2583,559.9603,-1068.2335
1.1,1.1,556.663,-1073.1249,555.8159,-1065.6877,556.6688,-1061.6506
1.1,1.15,556.0297,-1071.8584,NaN,NaN,NaN,NaN
1.1,1.2,555.3574,-1070.5138,NaN,NaN,NaN,NaN
1.15,0.8,554.3217,-1068.4424,NaN,NaN,NaN,NaN
1.15,0.85,555.1044,-1070.0078,NaN,NaN,NaN,NaN
1.15,0.9,555.3089,-1070.4169,NaN,NaN,NaN,NaN
1.15,0.95,555.169,-1070.1369,NaN,NaN,NaN,NaN
1.15,1,554.811,-1069.421,NaN,NaN,NaN,NaN
1.15,1.05,554.3103,-1068.4195,NaN,NaN,NaN,NaN
1.15,1.1,553.7139,-1067.2267,NaN,NaN,NaN,NaN
1.15,1.15,553.0527,-1065.9043,NaN,NaN,NaN,NaN
1.15,1.2,552.3476,-1064.4941,NaN,NaN,NaN,NaN
1.2,0.8,550.8278,-1061.4546,NaN,NaN,NaN,NaN
1.2,0.85,551.592,-1062.983,NaN,NaN,NaN,NaN
1.2,0.9,551.7894,-1063.3777,NaN,NaN,NaN,NaN
1.2,0.95,551.6395,-1063.078,NaN,NaN,NaN,NaN
1.2,1,551.2657,-1062.3303,NaN,NaN,NaN,NaN
1.2,1.05,550.7424,-1061.2838,NaN,NaN,NaN,NaN
1.2,1.1,550.1172,-1060.0335,NaN,NaN,NaN,NaN
1.2,1.15,549.4216,-1058.6423,NaN,NaN,NaN,NaN
1.2,1.2,548.6773,-1057.1535,NaN,NaN,NaN,NaN
