alpha,beta,b7_loglik,b7_BIC,b8_loglik,b8_BIC,b9_loglik,b9_BIC
0.9,0.9,559.7659,-1073.5878,559.7659,-1067.8447,559.7664,-1062.1027
0.9,0.95,559.9447,-1073.9454,559.9454,-1068.2037,559.9531,-1062.4761
0.9,1,559.9229,-1073.9018,559.9341,-1068.1813,559.9312,-1062.4325
0.9,1.05,559.7506,-1073.5573,559.7661,-1067.8452,559.788,-1062.1459
0.9,1.1,559.4854,-1073.0267,559.4792,-1067.2714,559.5263,-1061.6225
0.95,0.9,561.3658,-1076.7875,561.3687,-1071.0505,561.4428,-1065.4555
0.95,0.95,561.2823,-1076.6206,561.2802,-1070.8733,561.3134,-1065.1968
0.95,1,561.0517,-1076.1594,561.0441,-1070.4011,561.0842,-1064.7384
0.95,1.05,560.7065,-1075.4691,560.6935,-1069.7,560.7517,-1064.0734
0.95,1.1,560.2737,-1074.6033,560.2547,-1068.8223,560.3393,-1063.2485
1,0.9,561.4698,-1076.9956,561.4625,-1071.2379,561.6902,-1065.9504
1,0.95,561.3079,-1076.6717,561.2601,-1070.8332,561.3162,-1065.2025
1,1,560.9068,-1075.8695,560.9284,-1070.1697,561.9914,-1066.5529
1,1.05,560.4024,-1074.8607,560.4842,-1069.2813,560.4456,-1063.4612
1,1.1,559.8281,-1073.7123,559.959,-1068.231,559.8987,-1062.3675
1.05,0.9,560.3919,-1074.8398,560.3748,-1069.0625,560.9639,-1064.4978
1.05,0.95,560.2626,-1074.5811,560.0519,-1068.4168,561.0232,-1064.6164
1.05,1,559.8944,-1073.8448,559.6154,-1067.5437,560.945,-1064.46
1.05,1.05,559.3803,-1072.8165,559.0898,-1066.4925,559.3802,-1061.3303
1.05,1.1,558.7758,-1071.6076,558.4948,-1065.3025,558.776,-1060.1219
1.1,0.9,558.3612,-1070.7784,558.3779,-1065.0687,559.4798,-1061.5295
1.1,0.95,558.2631,-1070.5822,557.9286,-1064.1702,559.9907,-1062.5513
1.1,1,557.9303,-1069.9165,557.3754,-1063.0638,559.7479,-1062.0658
1.1,1.05,557.4495,-1068.955,556.7414,-1061.7958,560.1087,-1062.7874
1.1,1.1,556.8741,-1067.8042,556.0455,-1060.4039,556.8739,-1056.3177
