alpha,beta_0.88,beta_0.89,beta_0.90,beta_0.91,beta_0.92,beta_0.93,beta_0.94,beta_0.95,beta_0.96,beta_0.97,beta_0.98,beta_0.99,beta_1.00,beta_1.01,beta_1.02
0.88,558.3185,558.4532,558.5617,558.657,558.7394,558.8093,558.8669,558.9125,558.9464,558.9715,558.9918,559.0062,559.0124,559.0108,559.0014
0.89,559.0038,559.1211,559.2095,559.2849,559.3477,559.3981,559.4365,559.4661,559.4899,559.5054,559.5124,559.5111,559.5019,559.4849,559.4626
0.90,559.5961,559.6968,559.7659,559.8219,559.8655,559.9004,559.9268,559.944,559.9525,559.9523,559.9444,559.9314,559.9141,559.8925,559.8658
0.91,560.1003,560.1853,560.2362,560.2755,560.3049,560.3248,560.3355,560.3388,560.3368,560.3289,560.3145,560.2938,560.267,560.2344,560.1962
0.92,560.5212,560.5912,560.6266,560.6504,560.6665,560.675,560.6761,560.67,560.657,560.6373,560.6112,560.5789,560.5412,560.4987,560.4517
0.93,560.8632,560.9189,560.941,560.9531,560.9574,560.9545,560.945,560.9291,560.9072,560.8796,560.8466,560.8085,560.7656,560.7181,560.666
0.94,561.1304,561.1724,561.1848,561.1889,561.1857,561.1755,561.1588,561.1358,561.1067,561.072,561.0319,560.9865,560.9363,560.8813,560.8219
0.95,561.3267,561.3573,561.3671,561.3632,561.3512,561.3326,561.3077,561.2766,561.2398,561.1974,561.1497,561.0969,561.0392,560.9769,560.9102
0.96,561.4557,561.4822,561.4925,561.4885,561.4718,561.4446,561.4109,561.3714,561.3262,561.2757,561.2201,561.1596,561.0944,561.0248,560.951
0.97,561.5234,561.55,561.5606,561.5569,561.5405,561.5127,561.4746,561.4275,561.3746,561.3164,561.2534,561.1857,561.1136,561.0373,560.957
0.98,561.5363,561.563,561.5737,561.5702,561.5541,561.5266,561.4888,561.4418,561.3864,561.3234,561.2539,561.1796,561.1012,561.0188,560.9326
0.99,561.4968,561.5233,561.5341,561.5308,561.5148,561.4876,561.45,561.4033,561.3482,561.2856,561.2161,561.1404,561.0592,560.9728,560.8818
1.00,561.4069,561.4334,561.4441,561.4408,561.425,561.3979,561.3606,561.3141,561.2592,561.1969,561.1276,561.0522,560.9712,560.8851,560.7943
1.01,561.2688,561.2951,561.3058,561.3025,561.2868,561.2598,561.2226,561.1763,561.1216,561.0595,560.9904,560.9152,560.8344,560.7484,560.6577
1.02,561.0846,561.1106,561.1212,561.1179,561.1022,561.0753,561.0383,560.992,560.9375,560.8755,560.8066,560.7315,560.6507,560.5648,560.4742
