alpha,beta_0.40,beta_0.50,beta_0.60,beta_0.70,beta_0.80,beta_0.90,beta_1.00,beta_1.10,beta_1.20,beta_1.30,beta_1.40
0.40,-836.182,-520.3026,-320.1869,-184.7104,-88.6935,-18.3585,34.4358,74.7899,106.0515,130.5013,149.7423
0.50,-88.7505,84.5999,189.6963,257.3018,302.4155,333.1592,354.2803,368.7201,378.6635,386.9002,393.9935
0.60,190.9788,310.9274,380.4227,422.5989,448.6404,464.5503,473.8936,480.5612,485.8533,489.9339,492.8869
0.70,320.0923,414.5428,467.0393,497.0735,514.0085,522.8356,527.6169,530.9617,533.067,534.0599,534.5588
0.80,385.1798,465.7381,508.9731,532.392,544.3656,549.358,551.4575,552.3238,552.4341,552.1312,551.5157
0.90,418.3137,490.696,528.4803,548.0058,557.0594,559.7659,559.9141,559.468,558.6532,557.6946,556.6215
1.00,433.8111,501.1597,535.5883,552.7168,559.9726,561.4441,560.9712,559.9443,558.7093,557.4005,556.0824
1.10,438.9078,503.0863,535.4016,551.0205,557.1442,558.2004,557.7207,556.663,555.3574,553.9475,552.5027
1.20,437.5953,499.7706,530.7504,545.4153,550.8278,551.7894,551.2657,550.1172,548.6773,547.0989,545.4601
1.30,432.2204,493.1532,523.304,537.3664,542.404,543.341,542.7492,541.4734,539.8601,538.0769,536.2131
1.40,424.2315,484.4318,514.0783,527.6469,532.6691,533.5984,532.9275,531.5087,529.7105,527.7188,525.6378
