alpha,beta_0.40,beta_0.50,beta_0.60,beta_0.70,beta_0.80,beta_0.90,beta_1.00,beta_1.10,beta_1.20,beta_1.30
0.40,-1015.9083,-646.1157,-411.5008,-252.4106,-139.4541,-56.5424,5.8343,53.6371,90.7797,119.9297
0.50,-145.7245,58.6486,182.9838,263.3028,317.1809,354.1427,379.7595,397.4861,409.658,419.4685
0.60,186.3862,327.6993,409.9945,460.2849,491.6416,511.0867,522.717,530.883,537.4589,542.2364
0.70,342.1231,452.992,514.991,550.7841,571.2679,582.2563,588.3283,592.6761,595.2033,596.8345
0.80,422.1046,516.2323,567.0706,594.8917,609.3965,615.7589,618.7157,620.1308,620.7152,620.7568
0.90,463.9923,548.1744,592.3823,615.4675,626.4203,630.015,630.6459,630.5175,629.9357,629.1354
1.00,484.7129,562.706,602.7879,622.9258,631.6683,633.6916,633.451,632.6042,631.5168,630.318
1.10,492.8652,566.9082,604.3566,622.6135,629.9452,631.4069,631.1437,630.2346,629.0352,627.7021
1.20,493.2125,564.7143,600.4687,617.5153,623.9413,625.2532,624.9233,623.8933,622.5233,620.9813
1.30,488.5672,558.4509,593.126,609.3915,615.3136,616.5754,616.1508,614.9585,613.3748,611.5837
