Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.05,0.0505352112676056,0.0486197183098592
2,0.05,0.1,0.0514929577464789,0.0499718309859155
3,0.1,0.15,0.052,0.0494084507042254
4,0.15,0.2,0.0504788732394366,0.0507605633802817
5,0.2,0.25,0.0516056338028169,0.0525070422535211
6,0.25,0.3,0.0487323943661972,0.048169014084507
7,0.3,0.35,0.0505352112676056,0.0493521126760563
8,0.35,0.4,0.0492394366197183,0.0497464788732394
9,0.4,0.45,0.0535774647887324,0.0535774647887324
10,0.45,0.5,0.0508732394366197,0.0509295774647887
11,0.5,0.55,0.0502535211267606,0.0501971830985916
12,0.55,0.6,0.0507042253521127,0.0526197183098592
13,0.6,0.65,0.0471549295774648,0.0490140845070423
14,0.65,0.7,0.0491830985915493,0.0486197183098592
15,0.7,0.75,0.0495774647887324,0.0501971830985916
16,0.75,0.8,0.0486197183098592,0.0494647887323944
17,0.8,0.85,0.0505915492957747,0.0497464788732394
18,0.85,0.9,0.0501408450704225,0.0505352112676056
19,0.9,0.95,0.0454084507042253,0.0460281690140845
20,0.95,1,0.0492957746478873,0.0505352112676056
