Simulation,LL_A,LL_B,TestStatistic,PIT_Sup_A,PIT_Sup_B,PIT_Gain_B,PIT_Pairwise_Delta,KS_A,KS_B,ExitFlag_A,ExitFlag_B
1,663.109826302206,667.511176057002,8.802699509592,0.0267605633802817,0.0183098591549296,0.00845070422535212,0.0309859154929577,0.0535636333303673,0.0405036274524539,1,2
2,623.271697005617,623.855831704373,1.16826939751127,0.0211267605633803,0.0267605633802817,-0.0056338028169014,0.0169014084507042,0.0310685844544574,0.0278405621237892,2,2
3,630.196194625959,631.333000198689,2.27361114545897,0.0183098591549296,0.0183098591549296,0,0.0112676056338028,0.0327560529336293,0.0365481948174295,2,2
4,603.289255644237,604.614453226477,2.65039516447996,0.0295774647887324,0.023943661971831,0.00563380281690141,0.0169014084507042,0.0332737660130597,0.0261754170148972,2,2
5,635.845136681363,639.231293731829,6.77231410093123,0.0380281690140845,0.0323943661971831,0.0056338028169014,0.0169014084507042,0.0636998474837862,0.0384217776254097,2,2
6,627.984539391003,628.070560396906,0.17204201180607,0.0295774647887324,0.0295774647887324,0,0.00845070422535212,0.0409126041186885,0.0383425669303395,2,2
7,632.512644967656,633.911439769164,2.7975896030166,0.0211267605633803,0.0183098591549296,0.0028169014084507,0.0140845070422535,0.0268401086469924,0.0263250055309842,2,2
8,660.178016674319,661.916994127082,3.47795490552676,0.0183098591549296,0.0154929577464789,0.0028169014084507,0.0197183098591549,0.028344595774337,0.029518272123831,1,2
9,627.032192679675,628.374693227945,2.68500109653974,0.0295774647887324,0.023943661971831,0.00563380281690139,0.0140845070422535,0.0361143751461495,0.0318902032167623,2,2
10,615.022157634033,617.5821545407,5.11999381333453,0.0295774647887324,0.0183098591549296,0.0112676056338028,0.0112676056338028,0.0341702940936198,0.0221587530975794,2,2
11,610.209299075809,612.934359413628,5.45012067563698,0.023943661971831,0.0352112676056338,-0.0112676056338028,0.0253521126760563,0.059319871088293,0.0405681831437831,2,2
12,615.694864298711,616.047006783619,0.704284969815035,0.0183098591549296,0.023943661971831,-0.00563380281690141,0.00563380281690141,0.0222361904945937,0.020953057419703,2,2
13,664.155831347462,665.272574483697,2.23348627247128,0.0183098591549296,0.0154929577464789,0.0028169014084507,0.0169014084507042,0.0413209736342777,0.030091229512878,1,2
14,649.931116128343,651.887106871786,3.91198148688591,0.0352112676056338,0.0352112676056338,0,0.0197183098591549,0.0465841353202276,0.0446961224467535,2,2
15,641.254695188924,642.583394432697,2.65739848754515,0.0295774647887324,0.023943661971831,0.0056338028169014,0.0112676056338028,0.0367481822035467,0.0301951252310317,2,2
16,645.462427312922,646.47945690663,2.03405918741601,0.023943661971831,0.023943661971831,0,0.0140845070422535,0.0397763324797233,0.0292156879046644,1,2
17,631.441847081205,633.296180083916,3.70866600542149,0.023943661971831,0.0211267605633803,0.00281690140845071,0.0140845070422535,0.0501990721410203,0.0322191230606472,2,2
18,635.548347388278,636.464461103735,1.83222743091483,0.0267605633802817,0.0295774647887324,-0.0028169014084507,0.00563380281690141,0.0292721315727163,0.0294208773824884,1,2
19,633.600798338937,635.542000588133,3.88240449839077,0.0267605633802817,0.023943661971831,0.0028169014084507,0.0140845070422535,0.0263748415235704,0.0390959062925615,2,2
20,614.385515894527,619.76257714095,10.7541224928468,0.0295774647887324,0.0380281690140845,-0.00845070422535212,0.00845070422535212,0.0569029598565608,0.0521617801965625,2,2
